initial_preference_width,adaptive_tolerance,backfire_rate,seed,initial_mean_extremity,final_mean_extremity,delta_extremity,final_extreme_share,final_opinion_variance,final_backfire_rate_observed,final_acceptance_rate
0.2,False,0.03,9,0.5037796340055101,0.49962401001032647,-0.004155623995183599,0.285,0.3397137719888185,0.0007,0.87185
0.2,False,0.03,10,0.4783554051954107,0.48569054106301784,0.007335135867607145,0.2,0.30980259958391526,0.00055,0.86905
0.2,False,0.03,11,0.5245057294818782,0.5106456321972899,-0.013860097284588369,0.27,0.3385468673617463,0.00045,0.8578
0.2,False,0.03,12,0.5092713362654364,0.5184540839099685,0.009182747644532085,0.285,0.34445547120015,0.00035,0.86155
0.2,False,0.03,13,0.525746492476239,0.5103425763823481,-0.015403916093890802,0.255,0.3314773515766047,0.00065,0.86035
0.2,False,0.03,14,0.49961878918402114,0.49854308081347765,-0.0010757083705434933,0.295,0.3415565185359057,0.0007,0.85865
0.2,False,0.03,15,0.49128662390873923,0.5032675251130208,0.011980901204281524,0.24,0.3184241096034779,0.0006,0.8575
0.2,False,0.03,16,0.5398227235682644,0.5176865066611572,-0.02213621690710721,0.29,0.34599388498079997,0.00055,0.8771
0.2,False,0.03,17,0.501087792958863,0.4581965772716618,-0.04289121568720117,0.215,0.29631774407586503,0.0004,0.86785
0.2,False,0.03,18,0.5282595433746189,0.5308126913281032,0.0025531479534842694,0.22,0.3529547167108222,0.0006,0.8592
0.2,False,0.03,19,0.4817971947725576,0.509091775349887,0.02729458057732942,0.235,0.3325928744092397,0.00045,0.86565
0.2,False,0.03,20,0.527119700541352,0.5467961326954662,0.019676432154114187,0.325,0.376739944357266,0.00055,0.8625
0.4,False,0.03,1,0.5380338813570394,0.5878516749319297,0.049817793574890246,0.405,0.43304723670683853,0.0228,0.6679
0.4,False,0.03,2,0.5039942537498406,0.5413933223592253,0.03739906860938469,0.34,0.3933362363197044,0.02445,0.6688
0.4,False,0.03,3,0.4890296296058673,0.5285901592191906,0.03956052961332329,0.34,0.3701499934308144,0.0254,0.6526
0.4,False,0.03,4,0.5382270372131428,0.584713035253561,0.0464859980404182,0.41,0.4261095531438444,0.0244,0.65925
0.4,False,0.03,5,0.5029302632833011,0.5296826830233273,0.02675241974002618,0.36,0.37687319362959043,0.02535,0.66035
0.4,False,0.03,6,0.5186356672752157,0.5685611911629997,0.04992552388778404,0.395,0.4237299046716342,0.024,0.66715
0.4,False,0.03,7,0.513637667411623,0.5621747959624829,0.0485371285508599,0.405,0.41372001135246145,0.0248,0.67235
0.4,False,0.03,8,0.5087707013838418,0.5498479452243608,0.04107724384051892,0.365,0.3918773381249918,0.0246,0.6631
0.4,False,0.03,9,0.5037796340055101,0.5354524551848944,0.0316728211793843,0.39,0.39165593335112364,0.02275,0.67645
0.4,False,0.03,10,0.4783554051954107,0.5204292745983637,0.042073869402953046,0.3,0.356561422765769,0.02515,0.65915
0.4,False,0.03,11,0.5245057294818782,0.5738394637203069,0.049333734238428684,0.41,0.4251285811366368,0.025,0.66855
0.4,False,0.03,12,0.5092713362654364,0.5545523449244356,0.0452810086589992,0.36,0.397689261783631,0.0246,0.657
0.4,False,0.03,13,0.525746492476239,0.5555882354032454,0.029841742927006476,0.38,0.39936015104511086,0.0242,0.6698
0.4,False,0.03,14,0.49961878918402114,0.533521217399127,0.033902428215105807,0.36,0.38506974241068725,0.0268,0.663
0.4,False,0.03,15,0.49128662390873923,0.5384772657770693,0.04719064186833011,0.36,0.3732378611620535,0.0233,0.6573
0.4,False,0.03,16,0.5398227235682644,0.5801926041842345,0.04036988061597002,0.41,0.42274398844263233,0.0221,0.6834
0.4,False,0.03,17,0.501087792958863,0.5441464588514627,0.04305866589259977,0.38,0.3955224831084157,0.0229,0.6727
0.4,False,0.03,18,0.5282595433746189,0.5661852084316739,0.03792566505705497,0.37,0.40460897619974845,0.02395,0.66145
0.4,False,0.03,19,0.4817971947725576,0.5237002336342378,0.041903038861680175,0.315,0.36567489209527276,0.0237,0.66585
0.4,False,0.03,20,0.527119700541352,0.5795951227572927,0.052475422215940704,0.42,0.42729844040854764,0.0247,0.67155
0.6,False,0.03,1,0.5380338813570394,0.6345342277268293,0.09650034636978988,0.5,0.495466921949552,0.0601,0.59205
0.6,False,0.03,2,0.5039942537498406,0.6049776291039851,0.10098337535414448,0.49,0.4800335509951566,0.06215,0.59025
