initial_preference_width,adaptive_tolerance,initial_distribution,seed,initial_mean_extremity,initial_opinion_variance,initial_extreme_share,final_mean_opinion,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_preference_extremity,final_acceptance_threshold,final_rejection_threshold,final_acceptance_rate,final_ignore_rate,final_backfire_rate,final_avg_exposure_distance
0.2,False,moderate,13,0.19075205952482946,0.057161780025120165,0.0,0.010655286209988466,0.23763911199288976,0.0948058597918757,0.025,0.12604497803856965,0.24697657858619695,0.27435000000000004,0.7164999999999998,0.8586,0.1408,0.0006,0.11594996908107143
0.2,False,moderate,14,0.2119523586974536,0.06825909456636507,0.0,0.011919445959271285,0.2448875030029431,0.09264473261887737,0.02,0.1265119674202624,0.2556865767212518,0.26925000000000004,0.7075,0.84575,0.1536,0.00065,0.10415736093682998
0.2,False,moderate,15,0.1984613268938957,0.06576821913901539,0.0,-0.011396914446998065,0.2565840262355068,0.10731403103370539,0.04,0.12649422626735482,0.26299680676866705,0.265,0.7,0.84115,0.15795,0.0009,0.10393782395738181
0.2,False,moderate,16,0.18168681167013642,0.052433309670042165,0.0,0.02025148761246032,0.25100294691364317,0.09792002673462784,0.03,0.12622526108532076,0.26324087261649354,0.2735,0.715,0.85805,0.14155,0.0004,0.10980989245972285
0.2,False,moderate,17,0.18294517132258215,0.05161079028252076,0.0,0.011366899669470925,0.22507973884213786,0.08547270573496346,0.01,0.1270628903055686,0.23259959021873747,0.25905,0.6894999999999999,0.8303,0.169,0.0007,0.10697691706440214
0.2,False,moderate,18,0.19855301910035947,0.06304418652601688,0.005,-0.032452918255105594,0.2281563229062089,0.08977435204829932,0.03,0.12690202947863535,0.23632892100747827,0.26160000000000005,0.694,0.8395,0.16005,0.00045,0.10894559335825361
0.2,False,moderate,19,0.17923406656255078,0.05161533895496953,0.01,0.020470125732560688,0.22683063574345788,0.08419064229734076,0.025,0.12635625201845418,0.23073974766404323,0.27435000000000004,0.7164999999999999,0.8527,0.1468,0.0005,0.10416645504874701
0.2,False,moderate,20,0.21391301178933897,0.06671316718327558,0.0,-0.004154813537822766,0.2682664714904904,0.10932290949663727,0.01,0.1262075227988489,0.2751628425505919,0.27265000000000006,0.7134999999999999,0.85545,0.144,0.00055,0.1117085245311707
0.3,False,moderate,1,0.19125879841649546,0.058589918928632335,0.0,-0.021798483044856532,0.23917969326375782,0.0889972662425754,0.02,0.1850249181555647,0.25075318474775926,0.26585000000000003,0.7014999999999999,0.7115,0.2767,0.0118,0.15766732210514886
0.3,False,moderate,2,0.20945598806121324,0.06504507872162382,0.0,0.007948240888838286,0.23688286472112324,0.08845417907368784,0.01,0.18698531922264053,0.24291815164123634,0.26330000000000003,0.6969999999999998,0.69985,0.2896,0.01055,0.1562564512008342
0.3,False,moderate,3,0.2031706255013345,0.06375924486787389,0.0,-0.005893158365534678,0.2525574940254622,0.10017544725584004,0.02,0.18605531985550086,0.2583467779141283,0.26160000000000005,0.694,0.7039,0.28485,0.01125,0.15186064070178518
0.3,False,moderate,4,0.21031705940937978,0.07196040616566904,0.0,0.009578905280982238,0.2473021720386065,0.09722273844178105,0.015,0.18680129640111218,0.25373072862489837,0.2667,0.7029999999999998,0.7135,0.27645,0.01005,0.16383767025686125
0.3,False,moderate,5,0.20889326222407142,0.07192355524735651,0.01,0.004491797995501388,0.23129817310938874,0.08715194102971101,0.025,0.18567060062175098,0.23404334640144966,0.2573500000000001,0.6864999999999999,0.6964,0.29165,0.01195,0.1570920756538501
0.3,False,moderate,6,0.21114285195350674,0.06811285675299894,0.005,-0.0003123227655234689,0.2592251375774685,0.10624058677605593,0.03,0.18565090903355735,0.26758724802570355,0.265,0.7,0.70495,0.28355,0.0115,0.15339511267478337
0.3,False,moderate,7,0.21014173470241448,0.06938379780087367,0.005,-0.009556483832958705,0.26331029447947135,0.10650586769916208,0.02,0.18544564744121556,0.2664742295082164,0.2735000000000001,0.715,0.7243,0.26495,0.01075,0.16945988193542355
0.3,False,moderate,8,0.19396123746425836,0.05808667371817181,0.005,-0.005922672798042415,0.23461109470169816,0.0857270631611,0.01,0.18644441327437394,0.23693653576933227,0.2709500000000001,0.7104999999999998,0.7175,0.27235,0.01015,0.1507171929855874
0.3,False,moderate,9,0.1922446104844893,0.05633938276002658,0.0,0.01375550328419922,0.22530771719576784,0.07969114109520974,0.005,0.18601516073097973,0.2331872920795202,0.26925000000000004,0.7075,0.70535,0.28345,0.0112,0.15279032754368002
0.3,False,moderate,10,0.18502431120104432,0.05390517364581534,0.0,-0.02348478225210793,0.21756004072405638,0.07588658181277752,0.02,0.18539123206264344,0.2254537460679687,0.26585000000000003,0.7014999999999999,0.70935,0.27915,0.0115,0.15049834429199682
