initial_preference_width,social_signal_weight,initial_distribution,seed,initial_mean_extremity,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_acceptance_rate,final_backfire_rate,final_opinion_bimodality
1.0,0.2,moderate,16,0.20273423179460315,0.5837956403619861,0.46392074767301084,0.46,0.33713804107855677,0.49295,0.1279,1.6645572668450437
1.0,0.2,moderate,17,0.21248986753463306,0.5742314642248971,0.44260200675804634,0.43,0.32070827646871314,0.487,0.13695,1.6780179555805856
1.0,0.2,moderate,18,0.19139011474289064,0.6095131405073607,0.4807138085066521,0.485,0.32599354722689555,0.4863,0.13395,1.8261756640507414
1.0,0.2,moderate,19,0.20133143439186355,0.617737848486452,0.5029824424216035,0.5,0.3373654373790288,0.4975,0.1275,1.7685918646522298
1.0,0.2,moderate,20,0.20540210362835082,0.6039340689204915,0.47608151870236143,0.49,0.33814137242833253,0.498,0.1275,1.7900203471845362
1.0,0.4,moderate,1,0.22688425895127334,0.608407183718612,0.48597552014467654,0.47,0.3381435867633054,0.4967,0.127,1.784493814714178
1.0,0.4,moderate,2,0.1985078311131833,0.5924914644236937,0.46352274197593313,0.475,0.32815064338705596,0.4896,0.13285,1.7253612995729282
1.0,0.4,moderate,3,0.18442545490512494,0.5826523955555678,0.44858373650173844,0.42,0.32878407879975585,0.4901,0.1322,1.7026815130777926
1.0,0.4,moderate,4,0.19819092572818586,0.588924663154468,0.4581626868233056,0.45,0.33237016029706956,0.48975,0.13055,1.6678799652321692
1.0,0.4,moderate,5,0.19979120856413715,0.5990690440595199,0.46804738801652307,0.46,0.32621294625326014,0.47525,0.13435,1.8122419894649366
1.0,0.4,moderate,6,0.19571578884299975,0.5828554335087066,0.4485526629745945,0.45,0.33137221163662206,0.49395,0.13085,1.7591464851856224
1.0,0.4,moderate,7,0.2090805676605016,0.5913156697726492,0.46115533681252,0.47,0.33659255838798563,0.5019,0.1278,1.7730756907125753
